Danceability,Energy,Tempo,Time_signature
0.831,0.814,156.98,4
0.719,0.493,115.08,4
0.85,0.893,218.05,4
0.476,0.780,186.947,3
0.797,0.624,147.988,4
0.721,0.568,144.915,4
0.718,0.667,130.826,4
0.694,0.711,138.049,3
0.774,0.750,219.96,4
0.893,0.907,199.942,4
0.864,0.365,189.938,4
0.736,0.932,124.514,4
0.825,0.760,149.97,4
0.767,0.576,139.99,4
0.765,0.726,128.014,4
0.617,0.541,159.996,4
0.755,0.298,199.958,4
0.814,0.575,120.003,4
0.812,0.813,128.066,4
0.849,0.648,212.15,4
0.602,0.578,114.956,4
0.875,0.768,111.958,5
0.777,0.711,139.972,4
0.829,0.59,112.97,4
0.782,0.929,118.03,4
0.787,0.727,141.52,4
0.705,0.648,130.037,4
0.69,0.76,125.012,4
0.799,0.966,139.967,4
0.935,0.4763,121.979,4
0.838,0.634,114.771,4
0.964,0.051,130.028,4
0.83,0.387,120.006,4
0.455,0.525,119.999,4
0.748,0.573,117.962,4
0.745,0.688,114.997,5
0.722,0.519,199.974,4
0.657,0.473,150.029,4
0.935,0.474,129.999,4
0.765,0.62,219.808,4
0.65,0.952,209.998,3
0.386,0.935,190.15,4
0.563,0.68,180.218,3
0.777,0.902,129.985,4
0.607,0.749,121.829,4
0.628,0.573,115.502,3
0.467,0.325,191.185,3
0.512,0.44,207.992,1
0.504,0.48,173.993,4
0.608,0.662,117.031,4
0.782,0.684,141.03,4
0.667,0.479,162.12,4
0.528,0.617,119.047,4
0.795,0.755,120.01,4
0.299,0.381,136.462,1
0.644,0.64,217.888,3
0.473,0.843,143.293,4
0.471,0.618,110.337,4
0.665,0.446,115.282,4
0.812,0.707,219.984,4
0.262,0.897,199.650,4
0.571,0.865,150.017,4
0.753,0.679,211.954,4
0.935,0.429,139.987,4
0.726,0.634,211.95,5
0.854,0.98,220,4
0.526,0.62,112.027,4
0.84,0.444,131.999,4
0.818,0.576,192.378,3
0.880,0.903,119.994,4
0.77,0.623,134.974,4
0.8,0.505,114.972,4
0.780,0.493,212.022,4
0.817,0.910,119.988,3
0.814,0.74,120.098,4
0.677,0.77,150.018,4
0.755,0.787,140.055,4
0.81,0.524,122.016,4
0.805,0.702,211.95,3
0.89,0.74,130.012,4
0.909,0.573,144.946,4
0.735,0.932,129.988,4
0.698,0.987,129.763,4
0.577,0.692,144.702,4
0.827,0.770,149.867,4
0.68,0.707,159.941,4
0.721,0.899,142.018,4
0.777,0.812,139.961,3
0.579,0.813,215.218,4
0.86,0.524,114.946,4
0.425,0.508,130.837,4
0.494,0.695,155.01,4
0.649,0.772,219.946,4
0.814,0.758,159.94,4
0.37,0.856,158.764,5
0.888,0.905,125.032,4
0.816,0.62,144.981,3
0.713,0.839,150.004,4
0.449,0.645,219.692,4
0.922,0.94,139.804,4
0.832,0.802,220.012,4
0.569,0.712,157.231,1
0.476,0.825,168.298,3
0.402,0.696,179.998,4
0.836,0.706,120.045,3
0.81,0.709,120.057,4
0.849,0.522,119.975,4
0.703,0.536,180.048,4
0.708,0.298,124.863,4
0.852,0.721,136.07,4
0.694,0.514,120.01,4
0.595,0.336,124.993,4
0.721,0.802,161.502,4
0.846,0.616,125.975,4
0.76,0.576,218.082,4
0.529,0.817,120.01,4
0.558,0.514,139.614,3
